hid,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
56,0,0,0,0,1,1,0,1
57,0,0,0,0,1,1,0,1
58,0,0,0,0,0,0,0,1
59,1,0,0,1,0,1,0,1
60,0,0,0,0,1,0,0,0
61,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0
63,0,0,0,0,1,0,0,1
64,0,0,0,1,1,0,0,0
65,0,0,0,0,0,0,0,1
66,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,1
68,0,0,0,0,0,0,0,1
69,0,0,0,0,0,0,0,1
70,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,1
72,0,0,0,0,0,0,0,1
73,0,0,0,0,0,0,0,1
74,1,0,0,1,1,1,0,0
75,1,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0
77,1,0,0,1,1,0,1,1
78,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,1
81,0,0,0,0,0,0,0,1
82,0,0,0,0,0,0,0,1
83,0,0,0,0,0,0,0,1
84,0,0,0,0,0,0,0,1
85,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,1
87,0,1,0,1,0,1,0,1
88,0,0,0,0,0,0,0,1
89,0,0,0,1,1,0,0,1
90,1,1,1,0,0,0,0,1
91,0,0,0,0,0,0,0,1
92,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0
94,0,0,0,1,0,0,0,0
95,1,1,1,1,1,0,0,1
96,0,0,0,0,0,1,0,1
97,1,1,1,0,0,0,0,1
98,0,0,0,0,0,0,0,0
99,1,1,1,1,1,1,0,1
100,0,1,1,0,0,1,0,1
101,0,0,0,0,0,0,0,1
102,0,0,0,1,1,0,0,1
103,0,0,0,0,1,0,0,1
104,1,1,1,1,0,0,1,1
